,District_Code,District,Province,Code
0,1001,เขตพระนคร,กรุงเทพมหานคร,10
1,1002,เขตดุสิต,กรุงเทพมหานคร,10
2,1003,เขตหนองจอก,กรุงเทพมหานคร,10
3,1004,เขตบางรัก,กรุงเทพมหานคร,10
4,1005,เขตบางเขน,กรุงเทพมหานคร,10
5,1006,เขตบางกะปิ,กรุงเทพมหานคร,10
6,1007,เขตปทุมวัน,กรุงเทพมหานคร,10
7,1008,เขตป้อมปราบศัตรูพ่าย,กรุงเทพมหานคร,10
8,1009,เขตพระโขนง,กรุงเทพมหานคร,10
9,1010,เขตมีนบุรี,กรุงเทพมหานคร,10
10,1011,เขตลาดกระบัง,กรุงเทพมหานคร,10
11,1012,เขตยานนาวา,กรุงเทพมหานคร,10
12,1013,เขตสัมพันธวงศ์,กรุงเทพมหานคร,10
13,1014,เขตพญาไท,กรุงเทพมหานคร,10
14,1015,เขตธนบุรี,กรุงเทพมหานคร,10
15,1016,เขตบางกอกใหญ่,กรุงเทพมหานคร,10
16,1017,เขตห้วยขวาง,กรุงเทพมหานคร,10
17,1018,เขตคลองสาน,กรุงเทพมหานคร,10
18,1019,เขตตลิ่งชัน,กรุงเทพมหานคร,10
19,1020,เขตบางกอกน้อย,กรุงเทพมหานคร,10
20,1021,เขตบางขุนเทียน,กรุงเทพมหานคร,10
21,1022,เขตภาษีเจริญ,กรุงเทพมหานคร,10
22,1023,เขตหนองแขม,กรุงเทพมหานคร,10
23,1024,เขตราษฎร์บูรณะ,กรุงเทพมหานคร,10
24,1025,เขตบางพลัด,กรุงเทพมหานคร,10
25,1026,เขตดินแดง,กรุงเทพมหานคร,10
26,1027,เขตบึงกุ่ม,กรุงเทพมหานคร,10
27,1028,เขตสาทร,กรุงเทพมหานคร,10
28,1029,เขตบางซื่อ,กรุงเทพมหานคร,10
29,1030,เขตจตุจักร,กรุงเทพมหานคร,10
30,1031,เขตบางคอแหลม,กรุงเทพมหานคร,10
31,1032,เขตประเวศ,กรุงเทพมหานคร,10
32,1033,เขตคลองเตย,กรุงเทพมหานคร,10
33,1034,เขตสวนหลวง,กรุงเทพมหานคร,10
34,1035,เขตจอมทอง,กรุงเทพมหานคร,10
35,1036,เขตดอนเมือง,กรุงเทพมหานคร,10
36,1037,เขตราชเทวี,กรุงเทพมหานคร,10
37,1038,เขตลาดพร้าว,กรุงเทพมหานคร,10
38,1039,เขตวัฒนา,กรุงเทพมหานคร,10
39,1040,เขตบางแค,กรุงเทพมหานคร,10
